ts_code,detect_date,target_date,window_trading_days,status,direction,detect_close,target_close,change_amount,change_pct,error_message
002062.SZ,2025-09-12,2025-09-25,10,ok,up,9.73,11.2,1.4699999999999989,0.15107913669064735,
002335.SZ,2025-09-12,2025-09-25,10,ok,up,69.04,77.0,7.959999999999994,0.1152954808806488,
002379.SZ,2025-09-12,2025-09-25,10,ok,down,18.21,16.74,-1.4700000000000024,-0.08072487644151578,
002436.SZ,2025-09-12,2025-09-25,10,ok,up,22.47,22.58,0.10999999999999943,0.0048954161103693565,
002491.SZ,2025-09-12,2025-09-25,10,ok,down,6.62,5.51,-1.1100000000000003,-0.16767371601208464,
002515.SZ,2025-09-12,2025-09-25,10,ok,down,7.96,7.57,-0.3899999999999997,-0.04899497487437182,
002527.SZ,2025-09-12,2025-09-25,10,ok,up,20.14,20.33,0.18999999999999773,0.00943396226415083,
002532.SZ,2025-09-12,2025-09-25,10,ok,down,11.48,11.25,-0.23000000000000043,-0.02003484320557495,
002578.SZ,2025-09-12,2025-09-25,10,ok,down,3.57,3.21,-0.3599999999999999,-0.10084033613445376,
002642.SZ,2025-09-12,2025-09-25,10,ok,down,10.15,9.91,-0.2400000000000002,-0.023645320197044354,
002772.SZ,2025-09-12,2025-09-25,10,ok,down,10.09,9.22,-0.8699999999999992,-0.08622398414271548,
002798.SZ,2025-09-12,2025-09-25,10,ok,down,6.66,6.36,-0.2999999999999998,-0.045045045045045015,
002863.SZ,2025-09-12,2025-09-25,10,ok,down,5.56,5.29,-0.2699999999999996,-0.04856115107913662,
002905.SZ,2025-09-12,2025-09-25,10,ok,down,13.72,10.96,-2.76,-0.20116618075801745,
002968.SZ,2025-09-12,,10,error,,,,,,Missing daily row for 2025-09-25.
300244.SZ,2025-09-12,2025-09-25,10,ok,down,17.42,16.13,-1.2900000000000027,-0.07405281285878315,
300252.SZ,2025-09-12,2025-09-25,10,ok,down,16.13,15.51,-0.6199999999999992,-0.038437693738375654,
300324.SZ,2025-09-12,2025-09-25,10,ok,down,7.14,7.01,-0.1299999999999999,-0.018207282913165253,
300373.SZ,2025-09-12,2025-09-25,10,ok,up,67.71,70.73,3.0200000000000102,0.04460197902820869,
300670.SZ,2025-09-12,2025-09-25,10,ok,up,7.83,8.18,0.34999999999999964,0.044699872286079134,
300697.SZ,2025-09-12,2025-09-25,10,ok,down,18.18,17.42,-0.759999999999998,-0.041804180418041695,
300738.SZ,2025-09-12,2025-09-25,10,ok,up,22.45,23.27,0.8200000000000003,0.03652561247216037,
300852.SZ,2025-09-12,2025-09-25,10,ok,down,47.25,43.38,-3.8699999999999974,-0.08190476190476186,
300895.SZ,2025-09-12,2025-09-25,10,ok,down,50.68,48.44,-2.240000000000002,-0.04419889502762435,
301002.SZ,2025-09-12,2025-09-25,10,ok,up,37.83,39.05,1.2199999999999989,0.03224953740417655,
301308.SZ,2025-09-12,2025-09-25,10,ok,up,110.98,143.9,32.92,0.2966300234276446,
600067.SH,2025-09-12,2025-09-25,10,ok,down,3.17,3.01,-0.16000000000000014,-0.050473186119873864,
600106.SH,2025-09-12,2025-09-25,10,ok,down,6.9,6.18,-0.7200000000000006,-0.10434782608695661,
600172.SH,2025-09-12,2025-09-25,10,ok,up,4.98,5.13,0.14999999999999947,0.030120481927710732,
600353.SH,2025-09-12,2025-09-25,10,ok,down,18.18,17.79,-0.39000000000000057,-0.021452145214521483,
600362.SH,2025-09-12,2025-09-25,10,ok,down,30.97,30.26,-0.7099999999999973,-0.022925411688730944,
600521.SH,2025-09-12,2025-09-25,10,ok,down,24.95,21.99,-2.960000000000001,-0.11863727454909824,
600595.SH,2025-09-12,2025-09-25,10,ok,down,5.69,5.09,-0.6000000000000005,-0.10544815465729358,
600601.SH,2025-09-12,2025-09-25,10,ok,down,11.3,10.74,-0.5600000000000005,-0.049557522123893846,
600629.SH,2025-09-12,2025-09-25,10,ok,up,15.62,21.55,5.9300000000000015,0.3796414852752882,
600633.SH,2025-09-12,2025-09-25,10,ok,up,14.59,15.66,1.0700000000000003,0.07333790267306377,
600651.SH,2025-09-12,2025-09-25,10,ok,up,7.74,8.82,1.08,0.13953488372093023,
600704.SH,2025-09-12,2025-09-25,10,ok,down,5.94,5.74,-0.20000000000000018,-0.0336700336700337,
600846.SH,2025-09-12,2025-09-25,10,ok,up,13.1,13.75,0.6500000000000004,0.04961832061068705,
601168.SH,2025-09-12,2025-09-25,10,ok,up,20.3,20.46,0.16000000000000014,0.007881773399014785,
601208.SH,2025-09-12,2025-09-25,10,ok,up,20.52,21.34,0.8200000000000003,0.03996101364522418,
601518.SH,2025-09-12,2025-09-25,10,ok,down,2.81,2.69,-0.1200000000000001,-0.04270462633451961,
601619.SH,2025-09-12,2025-09-25,10,ok,up,4.87,5.07,0.20000000000000018,0.04106776180698155,
603083.SH,2025-09-12,2025-09-25,10,ok,up,101.49,124.87,23.38000000000001,0.2303675238939798,
603161.SH,2025-09-12,2025-09-25,10,ok,down,13.43,13.22,-0.20999999999999908,-0.015636634400595612,
603203.SH,2025-09-12,2025-09-25,10,ok,up,32.7,33.95,1.25,0.0382262996941896,
603228.SH,2025-09-12,2025-09-25,10,ok,down,68.97,67.8,-1.1700000000000017,-0.01696389734667249,
603359.SH,2025-09-12,2025-09-25,10,ok,down,11.15,9.29,-1.8600000000000012,-0.16681614349775795,
603516.SH,2025-09-12,2025-09-25,10,ok,up,150.8,158.51,7.7099999999999795,0.051127320954907025,
603698.SH,2025-09-12,2025-09-25,10,ok,up,19.69,20.94,1.25,0.06348400203148806,
603881.SH,2025-09-12,2025-09-25,10,ok,up,34.28,39.23,4.949999999999996,0.14439906651108506,
603888.SH,2025-09-12,2025-09-25,10,ok,down,20.37,19.68,-0.6900000000000013,-0.03387334315169373,
603979.SH,2025-09-12,2025-09-25,10,ok,up,64.25,67.93,3.680000000000007,0.05727626459143979,
