ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r,entry_exception
600444.SH,2025-08-11,gaps up,skipped,pullback_rule;gap_fill_rule,2025-08-12,2025-08-12 14:30:00,17.75,,,,,,,,,,,,,,False,pullback_rule;gap_fill_rule,2025-08-12,2025-08-12 14:30:00,17.75,17.71,17.94,17.85,17.8,18.03,6178400.0,3995100.0,0.43478260869565755,True,False,False,0.08999999999999986,,,
600581.SH,2025-08-12,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-08-13,2025-08-13 14:30:00,5.02,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-08-13,2025-08-13 14:30:00,5.02,4.66,4.94,5.13,4.67,5.13,264895718.0,324866195.0,0.5789473684210559,False,False,True,0.009999999999999787,,,
000792.SZ,2025-08-18,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-08-19,2025-08-19 14:30:00,19.07,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-08-19,2025-08-19 14:30:00,19.07,19.19,19.45,19.28,19.2,19.63,71385372.0,44241671.0,0.4883720930232581,False,False,False,0.00999999999999801,,,
001360.SZ,2025-08-18,gaps up,skipped,volume_rule;reversal_rule,2025-08-19,2025-08-19 14:30:00,15.82,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-08-19,2025-08-19 14:30:00,15.82,15.55,15.59,15.82,15.59,16.05,5608750.0,3993476.0,0.0,False,False,True,0.03999999999999915,,,
002466.SZ,2025-08-18,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-19,2025-08-19 14:30:00,43.81,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-19,2025-08-19 14:30:00,43.81,43.99,44.9,44.46,44.0,45.37,63484927.0,50429265.0,0.4744525547445254,False,False,False,0.00999999999999801,,,
300814.SZ,2025-08-18,gaps up,skipped,pullback_rule;reversal_rule,2025-08-19,2025-08-19 14:30:00,49.02,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-08-19,2025-08-19 14:30:00,49.02,45.89,48.0,50.65,47.51,53.33,31008283.0,18521481.0,0.6150943396226402,False,False,True,1.6199999999999974,,,
603132.SH,2025-08-18,gaps up,skipped,pullback_rule;volume_rule;gap_fill_rule,2025-08-19,2025-08-19 14:30:00,13.42,,,,,,,,,,,,,,False,pullback_rule;volume_rule;gap_fill_rule,2025-08-19,2025-08-19 14:30:00,13.42,13.74,13.88,13.96,13.78,14.48,6911688.0,6029645.0,6.750000000000005,False,True,False,0.03999999999999915,,,
605020.SH,2025-08-18,gaps up,skipped,volume_rule;reversal_rule,2025-08-19,2025-08-19 14:30:00,30.52,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-08-19,2025-08-19 14:30:00,30.52,28.76,29.23,30.33,29.08,30.76,19985489.0,18619508.0,0.0,False,False,True,0.31999999999999673,,,
002645.SZ,2025-08-19,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-08-20,2025-08-20 14:30:00,16.53,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-08-20,2025-08-20 14:30:00,16.53,16.41,17.15,18.05,17.07,18.05,95457549.0,124818941.0,1.6888888888888844,False,False,True,0.6600000000000001,,,
002576.SZ,2025-08-20,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-08-21,2025-08-21 14:30:00,19.58,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-08-21,2025-08-21 14:30:00,19.58,19.3,19.5,21.04,19.41,21.04,11500332.0,38100297.0,0.9480519480519491,False,False,True,0.10999999999999943,,,
