ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_day_volume,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
000632.SZ,2025-11-14,,skipped,volume_rule,2025-11-17,2025-11-17 14:30:00,8.75,,,,,,,,,,,,,,False,volume_rule,2025-11-17,2025-11-17 14:30:00,8.75,7.23,7.95,7.95,7.5,7.95,152898789.0,203372786.0,0.0,True,False,True,0.2699999999999996,,
600829.SH,2025-11-14,,skipped,volume_rule;reversal_rule,2025-11-17,2025-11-17 14:30:00,16.64,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-17,2025-11-17 14:30:00,16.64,13.75,15.13,15.13,14.68,15.13,42763282.0,76030328.0,0.0,False,False,True,0.9299999999999997,,
001266.SZ,2025-11-14,,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-17,2025-11-17 14:30:00,32.69,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-17,2025-11-17 14:30:00,32.69,32.97,34.34,36.27,33.78,36.27,12684642.0,13112490.0,1.8549222797927492,False,False,False,0.8100000000000023,,
002780.SZ,2025-11-14,,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-11-17,2025-11-17 14:30:00,17.47,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-11-17,2025-11-17 14:30:00,17.47,17.45,18.29,19.2,17.64,19.2,54762273.0,39845201.0,1.9010989010989012,False,False,False,0.19000000000000128,,
600903.SH,2025-11-14,,skipped,pullback_rule;reversal_rule,2025-11-17,2025-11-17 14:30:00,7.28,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-11-17,2025-11-17 14:30:00,7.28,7.18,7.22,7.4,7.22,7.45,45460589.0,21088654.0,0.6666666666666651,False,False,True,0.040000000000000036,,
603778.SH,2025-11-14,,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-17,2025-11-17 14:30:00,7.79,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-17,2025-11-17 14:30:00,7.79,7.73,8.01,8.5,7.82,8.5,185564467.0,169329654.0,1.448979591836734,False,False,False,0.08999999999999986,,
002309.SZ,2025-11-13,,skipped,pullback_rule;volume_rule;reversal_rule,2025-11-14,2025-11-14 14:30:00,4.03,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-11-14,2025-11-14 14:30:00,4.03,3.84,4.08,4.22,4.0,4.22,254571513.0,249658928.0,1.3571428571428568,False,False,True,0.16000000000000014,,
600429.SH,2025-11-13,,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-14,2025-11-14 14:30:00,6.55,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-14,2025-11-14 14:30:00,6.55,6.62,7.28,7.28,7.1,7.28,120305908.0,165828987.0,4.055555555555545,False,False,False,0.47999999999999954,,
603867.SH,2025-11-13,,skipped,reversal_rule,2025-11-14,2025-11-14 14:30:00,32.48,,,,,,,,,,,,,,False,reversal_rule,2025-11-14,2025-11-14 14:30:00,32.48,30.2,30.5,32.84,30.29,32.99,17375071.0,12128022.0,0.1538461538461564,False,False,True,0.08999999999999986,,
301305.SZ,2025-11-12,,skipped,pullback_rule;reversal_rule,2025-11-13,2025-11-13 14:30:00,25.07,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-11-13,2025-11-13 14:30:00,25.07,22.88,23.3,26.06,23.3,27.11,32367056.0,24412037.0,0.35869565217391275,False,False,True,0.4200000000000017,,
301305.SZ,2025-11-12,,skipped,pullback_rule;reversal_rule,2025-11-13,2025-11-13 14:30:00,25.07,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-11-13,2025-11-13 14:30:00,25.07,22.88,23.3,26.06,23.3,27.11,32367056.0,24412037.0,0.35869565217391275,False,False,True,0.4200000000000017,,
000061.SZ,2025-11-12,,traded,completed,2025-11-13,2025-11-13 14:30:00,10.07,9.5665,0.5035000000000007,2025-11-18,2025-11-18 09:31:00,10.07,trailing_stop,4.0,0.0,0.0,0.0,1.211519364448855,-0.07944389275074651,10.07,True,eligible,2025-11-13,2025-11-13 14:30:00,10.07,9.25,9.43,10.18,9.35,10.18,106695578.0,76233094.0,0.14666666666666592,False,True,True,0.09999999999999964,9.5665,0.5035000000000007
