ts_code,detect_date,note
603269.SH,20250829,gaps up
603610.SH,20250829,gaps up
603948.SH,20250829,gaps up
603966.SH,20250829,gaps up
605006.SH,20250829,gaps up
605255.SH,20250829,gaps up
605288.SH,20250829,gaps up
000426.SZ,20250901,gaps up
000603.SZ,20250901,gaps up
000988.SZ,20250901,gaps up
001337.SZ,20250901,gaps up
002028.SZ,20250901,gaps up
002074.SZ,20250901,gaps up
002237.SZ,20250901,gaps up
002266.SZ,20250901,gaps up
002281.SZ,20250901,gaps up
002315.SZ,20250901,gaps up
002484.SZ,20250901,gaps up
002763.SZ,20250901,gaps up
002989.SZ,20250901,gaps up
300139.SZ,20250901,gaps up
300213.SZ,20250901,gaps up
300249.SZ,20250901,gaps up
300324.SZ,20250901,gaps up
300353.SZ,20250901,gaps up
300450.SZ,20250901,gaps up
300458.SZ,20250901,gaps up
300468.SZ,20250901,gaps up
300475.SZ,20250901,gaps up
300593.SZ,20250901,gaps up
300682.SZ,20250901,gaps up
300731.SZ,20250901,gaps up
300950.SZ,20250901,gaps up
301031.SZ,20250901,gaps up
301193.SZ,20250901,gaps up
600063.SH,20250901,gaps up
600089.SH,20250901,gaps up
600226.SH,20250901,gaps up
600319.SH,20250901,gaps up
600353.SH,20250901,gaps up
600489.SH,20250901,gaps up
600673.SH,20250901,gaps up
600711.SH,20250901,gaps up
600797.SH,20250901,gaps up
600988.SH,20250901,gaps up
601116.SH,20250901,gaps up
601696.SH,20250901,gaps up
601929.SH,20250901,gaps up
603115.SH,20250901,gaps up
603177.SH,20250901,gaps up
603203.SH,20250901,gaps up
603289.SH,20250901,gaps up
603316.SH,20250901,gaps up
603565.SH,20250901,gaps up
603590.SH,20250901,gaps up
603936.SH,20250901,gaps up
603948.SH,20250901,gaps up
603949.SH,20250901,gaps up
605118.SH,20250901,gaps up
605133.SH,20250901,gaps up
605138.SH,20250901,gaps up
605298.SH,20250901,gaps up
002248.SZ,20250902,gaps up
002532.SZ,20250902,gaps up
002716.SZ,20250902,gaps up
002846.SZ,20250902,gaps up
300690.SZ,20250902,gaps up
300971.SZ,20250902,gaps up
301310.SZ,20250902,gaps up
600021.SH,20250902,gaps up
600531.SH,20250902,gaps up
600737.SH,20250902,gaps up
601022.SH,20250902,gaps up
601212.SH,20250902,gaps up
601958.SH,20250902,gaps up
603032.SH,20250902,gaps up
603200.SH,20250902,gaps up
603500.SH,20250902,gaps up
603881.SH,20250902,gaps up
605288.SH,20250902,gaps up
002975.SZ,20250903,gaps up
300092.SZ,20250903,gaps up
601069.SH,20250903,gaps up
605255.SH,20250903,gaps up
601678.SH,20250905,gaps up
000655.SZ,20250908,gaps up
000881.SZ,20250908,gaps up
